listing_title,tradein_title,listing_price,tradein_value,difference,location,url
Unlocked iPhone 11 Pro Max 512gb Matte Green,iPhone 11,500.0,170,-330.0,"Denver, CO",https://www.facebook.com/marketplace/item/376883008706910/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 14 pro max 128gbs,iPhone 14,700.0,370,-330.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/443096634994962/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 13 pro- Unlocked,iPhone 13,630.0,300,-330.0,"Amarillo, TX",https://www.facebook.com/marketplace/item/420546880963498/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 11 Pro Max 512gb white - unlocked,iPhone 11,500.0,170,-330.0,"Denver, CO",https://www.facebook.com/marketplace/item/974053014212986/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 12 pro max 128/256gb,iPhone 12,525.0,200,-325.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2708771382615733/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 12 Pro Max 128gb Gold,iPhone 12,520.0,200,-320.0,"Denver, CO",https://www.facebook.com/marketplace/item/473979068352947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb Green,iPhone 13,620.0,300,-320.0,"Denver, CO",https://www.facebook.com/marketplace/item/332249876415933/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256Gigs,iPhone 12,520.0,200,-320.0,"Denver, CO",https://www.facebook.com/marketplace/item/1695484351259303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb White,iPhone 13,620.0,300,-320.0,"Denver, CO",https://www.facebook.com/marketplace/item/1200018327935959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb Green,iPhone 13,620.0,300,-320.0,"Denver, CO",https://www.facebook.com/marketplace/item/1653172948860798/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
512gb Iphone 12 pro max - matte blue (Unlocked),iPhone 12 Pro,580.0,270,-310.0,"Denver, CO",https://www.facebook.com/marketplace/item/860296929473309/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB,iPhone 13 Pro,675.0,370,-305.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/842451611122069/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple IPhone 12 Pro Max unlocked/liberado,iPhone 12 Pro,575.0,270,-305.0,"Denver, CO",https://www.facebook.com/marketplace/item/999369855151885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB ANY CARRIER,iPhone 13 Pro,675.0,370,-305.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/427009566808718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13pro max,iPhone 13,600.0,300,-300.0,"Longmont, CO",https://www.facebook.com/marketplace/item/821336256237795/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 14 Pro Max,iPhone 14,670.0,370,-300.0,"Littleton, CO",https://www.facebook.com/marketplace/item/1430925931120458/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
vendo iphone 13 pro max liberado y nuevo..600$,iPhone 13 Pro Max,750.0,450,-300.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2716940565122384/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12,iPhone 12,500.0,200,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/1505294046737569/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 12 pro max 128/256/512,iPhone 12,500.0,200,-300.0,"Aurora, CO",https://www.facebook.com/marketplace/item/881472227150745/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max,iPhone 12,500.0,200,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/2164881467193468/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max (Gold/256GB/Unlocked,iPhone 12,500.0,200,-300.0,"Denver, CO",https://www.facebook.com/marketplace/item/732040562461510/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
