title,price,url,location
UNLOCKED APPLE IPHONE 12 64GB ANY CARRIER,280.0,https://www.facebook.com/marketplace/item/428550329944610/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13 Pro 256g Excellent Condition,540.0,https://www.facebook.com/marketplace/item/330498153277581/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
S23 128gb fully unlocked. Works perfectly,400.0,https://www.facebook.com/marketplace/item/3616486241950567/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 12 mini,400.0,https://www.facebook.com/marketplace/item/983286219681063/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Like new iPhone 12 Pro Max 128gb unlocked. Can be used worldwide!!,400.0,https://www.facebook.com/marketplace/item/862438169054005/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
A15,100.0,https://www.facebook.com/marketplace/item/1135067877545878/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
"Apple iPhone 13, 128GB - Unlocked",350.0,https://www.facebook.com/marketplace/item/2572554532927285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
APPLE IPHONE 15 PRO 128GB AT&T CRICKET,650.0,https://www.facebook.com/marketplace/item/408888235468760/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Vendo Phone 14 pro max solo para WiFi,400.0,https://www.facebook.com/marketplace/item/486444084048287/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone14 Plus,345.0,https://www.facebook.com/marketplace/item/761963819174330/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Phone XR,300.0,https://www.facebook.com/marketplace/item/1187632345521608/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
APPLE IPHONE 15 PRO 128GB VERIZON,650.0,https://www.facebook.com/marketplace/item/984816346606865/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone 11,200.0,https://www.facebook.com/marketplace/item/822426273238689/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone 13,450.0,https://www.facebook.com/marketplace/item/778072764183306/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Pink Iphone 13,400.0,https://www.facebook.com/marketplace/item/767973701923828/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 64gb cricket wireless,200.0,https://www.facebook.com/marketplace/item/793474422838278/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone 11 128GB,250.0,https://www.facebook.com/marketplace/item/1120229699027532/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 11 T-Mobile,200.0,https://www.facebook.com/marketplace/item/416049451383784/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
New Apple Iphone 15 unlocked No sim restrictions 128gb black excellent condition Asking 500 $ OBO,500.0,https://www.facebook.com/marketplace/item/798243632150943/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
IPhone 11,300.0,https://www.facebook.com/marketplace/item/980001613804049/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 12 128 GB Pre-Owned,120.0,https://www.facebook.com/marketplace/item/1466930080925195/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone,25.0,https://www.facebook.com/marketplace/item/7419879661473186/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone SE 1st Gen - In Woodland Park,80.0,https://www.facebook.com/marketplace/item/3472162296409078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Woodland Park, CO"
APPLE IPHONE 15 PRO MAX 256GB VERIZON,800.0,https://www.facebook.com/marketplace/item/740824971338328/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iphone 14,735.0,https://www.facebook.com/marketplace/item/878280510574042/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"United States Air Force Academy, CO"
VERIZON iPhone 13 Pro - 128Gb - Graphite,500.0,https://www.facebook.com/marketplace/item/335132909614132/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Peyton, CO"
IPHONE 12 64GB - $50 DOWN,379.0,https://www.facebook.com/marketplace/item/1592870128229324/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Phone 14 Plus,550.0,https://www.facebook.com/marketplace/item/1889019368223788/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 11 Pro Max,650.0,https://www.facebook.com/marketplace/item/1125732248669376/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
Iphone xs max,150.0,https://www.facebook.com/marketplace/item/3759211364314392/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone,95.0,https://www.facebook.com/marketplace/item/411393291387590/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
iPhone 13 Pro Max AT&T,500.0,https://www.facebook.com/marketplace/item/1838793046568093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD,"Colorado Springs, CO"
