title,mileage,price,location,link,date_scraped
2010 Dodge caliber SXT Sport Wagon 4D,98K miles,"$4,100","Phoenix, AZ",www.facebook.com/marketplace/item/751432842962513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Dodge charger SE Sedan 4D,58K miles,"$5,999","Phoenix, AZ",www.facebook.com/marketplace/item/915898066502373/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Honda accord EX-L Coupe 2D,155K miles,"$11,000","Phoenix, AZ",www.facebook.com/marketplace/item/1607633952997822/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet camaro LS Coupe 2D,95K miles,"$14,500","Phoenix, AZ",www.facebook.com/marketplace/item/601812464691862/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Kia optima EX Sedan 4D,220K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/100997839593591/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Kia forte,125K miles,"$10,500","Phoenix, AZ",www.facebook.com/marketplace/item/223086240092388/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Ford escape Hybrid Sport Utility 4D,246K miles,"$4,800","Phoenix, AZ",www.facebook.com/marketplace/item/639864684644151/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2015 Chevrolet sonic LT Sedan 4D,155K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/1230135527919409/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1999 Saturn sl 1,297K miles,$900,"Phoenix, AZ",www.facebook.com/marketplace/item/1348042252699300/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chrysler 300C Sedan 4D,55K miles,"$13,500","Phoenix, AZ",www.facebook.com/marketplace/item/598310041771137/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
